country,population,poultry_supply_capita,poultry_import,poultry_production,GDP,stability,urban,animal_protein_ratio,poultry_protein_ratio,production_per_capita,poultry_gap,import_dependency
Latvia,1942594.0,20.96,34695410.0,33393000.0,25763.9907709703,0.6631827,67.9706866054779,58.68661679135495,14.841045011016682,17.18990174992819,3.770098250071811,84.6229512195122
Lebanon,6160128.0,22.82,7848180.0,131136000.0,20963.8249472533,-1.3393518,89.0519233886895,39.102564102564095,32.47162673392182,21.28786934297469,1.5321306570253093,5.566085106382978
Lesotho,2157110.0,6.23,7727520.0,459160.0,2618.81820770145,-0.2021614,36.5283648068846,31.505483549351947,14.978902953586495,0.21285887136029225,6.017141128639708,59.44246153846153
Liberia,4848925.0,12.93,41180360.0,12858580.0,1664.94481323565,-0.2701752,51.7957569553849,28.189712758851037,46.682464454976305,2.6518413875240388,10.278158612475961,65.3656507936508
Libya,6738770.0,27.4,35190340.0,120100230.0,18026.0187834008,-2.29431519999999,87.8166729870528,42.21613901452035,34.84634902734705,17.82227765601141,9.57772234398859,19.021805405405406
Lithuania,2829313.0,28.37,35085390.0,126607000.0,31305.0436934372,0.8922634,67.1012954711914,59.74743488555644,17.067371202113605,44.74831876148026,-16.378318761480262,42.78706097560976
Luxembourg,596495.0,18.8,7521030.0,269900.0,114985.842235989,1.2715421,92.0963768119916,65.0415958493604,11.88282217026544,0.45247655051593055,18.34752344948407,68.37299999999999
Malawi,18039715.0,7.22,352840.0,130114000.0,1380.23263621737,-0.313000899999999,15.9634281867266,22.91210509852987,22.252559726962456,7.212641663130487,0.007358336869512705,0.2714153846153846
Malaysia,32355644.0,52.26,66697039.99999999,1598258070.0,26415.5960203287,-0.011848,74.2354806421432,59.84106248639234,42.73239949063125,49.39657730193842,2.8634226980615765,3.9489070455891055
Malta,467902.0,23.71,5245840.0,3676000.0,45763.7330585065,1.082828,94.5691806330314,56.570990545950096,16.817223727792832,7.8563459869801795,15.85365401301982,40.35261538461539
Mauritania,4210600.0,5.23,23473000.0,4771370.0,5353.06608810407,-0.7637873,54.1970448502004,37.80851317515202,7.442447177546514,1.133180544340474,4.096819455659526,106.69545454545455
Mauritius,1290655.0,37.25,49450.0,47500000.0,22897.9700922102,1.0144918,39.4499348663789,48.62832327083995,36.745807013722505,36.80301862232742,0.4469813776725786,0.10091836734693878
Mexico,123400057.0,34.15,788451840.0,3211687000.0,20488.7150800441,-1.0455954,77.7206924598541,54.835326200964964,29.609793420045904,26.02662493097552,8.12337506902448,18.710295206454674
Mongolia,3104364.0,2.79,9378200.0,220000.0,11096.0375604239,0.716039,67.9260583223672,69.77706706800866,1.6985710434079266,0.07086797811081433,2.7191320218891857,104.20222222222222
Montenegro,620114.0,16.3,6749480.0,1669960.0,19356.6825946889,0.0506422,64.9992438680584,62.539349422875134,9.628291171915333,2.692988708527787,13.607011291472213,67.4948
Morocco,35446392.0,20.59,404350.0,550000000.0,8115.12060546875,-0.5065227,61.2761057031842,30.53045186640471,30.180180180180184,15.516388804818273,5.073611195181726,0.05539041095890411
Mozambique,28166393.0,4.13,22211560.0,88957600.0,1282.74965991801,-1.06530219999999,32.6274411492675,21.596462648359317,20.043103448275865,3.158288674023685,0.9717113259763148,19.147896551724138
Myanmar,51894938.0,32.02,20400.0,1580848000.0,4706.43248949598,-1.24136,29.9051727703437,48.61723446893788,29.554822753503707,30.46247015460352,1.557529845396484,0.0011771494518176572
Namibia,2506853.0,10.89,26899360.0,11493900.0,9887.9393548255,0.6294292,46.8135799686288,36.88658265381764,19.935691318327976,4.584991620968601,6.3050083790314,99.62725925925926
Nepal,28011258.0,2.06,114760.0,57268000.0,3604.70825949747,-0.5502541,65.5768928085184,18.548178765176957,6.47632311977716,2.0444636938476664,0.015536306152333701,0.19786206896551722
Netherlands (Kingdom of the),17315370.0,15.79,358733380.0,1034319000.0,56037.567993606,0.7820237,91.1219700676602,64.44529310674051,10.725925925925926,59.73415526205908,-43.944155262059084,123.70116551724138
Nicaragua,6316231.0,21.84,5225630.0,142712440.0,6225.34702574846,-0.181501599999999,58.1892567408822,36.11694152923538,40.929846409298456,22.594556785526052,-0.7545567855260522,3.7866884057971015
Niger,21435446.0,1.07,2182000.0,18475410.0,1208.14609955266,-1.0412801,16.5036987906896,11.927846674182637,4.536862003780718,0.8619092880082831,0.20809071199171691,9.48695652173913
Nigeria,200254579.0,1.37,12632260.0,257728950.0,7036.67414372387,-1.90978539999999,57.3486345560101,12.263693650024237,8.168642951251647,1.2870065258283059,0.08299347417169423,4.627201465201465
North Macedonia,1940879.0,21.34,36647870.0,1716000.0,17161.049071447,-0.249481799999999,59.7437719356273,44.43972384492831,23.255258126195027,0.8841354870653967,20.455864512934603,89.38504878048781
Norway,5276802.0,20.76,525810.0,90944000.0,64589.5559196863,1.0956942,81.9699745912375,55.533596837944664,13.508896797153024,17.234681157261537,3.5253188427384643,0.4737027027027027
Oman,4537396.0,22.27,121508280.0,6434230.0,33619.4988982607,0.5468563,78.3142260040136,51.74288455388552,20.745776679027607,1.4180446229511376,20.851955377048863,106.58621052631578
