Area,Item,Year,Unit,Value
Portugal,Poultry Meat,2017,g/cap/d,14.13
Republic of Korea,Grand Total,2017,g/cap/d,106.98
Republic of Korea,Animal Products,2017,g/cap/d,58.26
Republic of Korea,Poultry Meat,2017,g/cap/d,8.51
Republic of Moldova,Grand Total,2017,g/cap/d,92.63
Republic of Moldova,Animal Products,2017,g/cap/d,48.77
Republic of Moldova,Poultry Meat,2017,g/cap/d,10.34
Romania,Grand Total,2017,g/cap/d,113.72
Romania,Animal Products,2017,g/cap/d,60.62
Romania,Poultry Meat,2017,g/cap/d,10.49
Russian Federation,Grand Total,2017,g/cap/d,112.56
Russian Federation,Animal Products,2017,g/cap/d,62.51
Russian Federation,Poultry Meat,2017,g/cap/d,14.3
Rwanda,Grand Total,2017,g/cap/d,59.79
Rwanda,Animal Products,2017,g/cap/d,8.11
Rwanda,Poultry Meat,2017,g/cap/d,0.67
Saint Kitts and Nevis,Grand Total,2017,g/cap/d,103.06
Saint Kitts and Nevis,Animal Products,2017,g/cap/d,65.63
Saint Kitts and Nevis,Poultry Meat,2017,g/cap/d,26.02
Saint Lucia,Grand Total,2017,g/cap/d,100.98
Saint Lucia,Animal Products,2017,g/cap/d,62.52
Saint Lucia,Poultry Meat,2017,g/cap/d,28.48
Saint Vincent and the Grenadines,Grand Total,2017,g/cap/d,111.59
Saint Vincent and the Grenadines,Animal Products,2017,g/cap/d,63.42
Saint Vincent and the Grenadines,Poultry Meat,2017,g/cap/d,37.04
Samoa,Grand Total,2017,g/cap/d,106.88
Samoa,Animal Products,2017,g/cap/d,67.27
Samoa,Poultry Meat,2017,g/cap/d,33.16
Sao Tome and Principe,Grand Total,2017,g/cap/d,54.79
Sao Tome and Principe,Animal Products,2017,g/cap/d,17.46
Sao Tome and Principe,Poultry Meat,2017,g/cap/d,4.31
Saudi Arabia,Grand Total,2017,g/cap/d,99
Saudi Arabia,Animal Products,2017,g/cap/d,41.13
Saudi Arabia,Poultry Meat,2017,g/cap/d,18.5
Senegal,Grand Total,2017,g/cap/d,63.94
Senegal,Animal Products,2017,g/cap/d,16.7
Senegal,Poultry Meat,2017,g/cap/d,2.79
Serbia,Grand Total,2017,g/cap/d,120.91
Serbia,Animal Products,2017,g/cap/d,56.94
Serbia,Poultry Meat,2017,g/cap/d,5.76
Seychelles,Grand Total,2017,g/cap/d,97.85
Seychelles,Animal Products,2017,g/cap/d,52.67
Seychelles,Poultry Meat,2017,g/cap/d,15.97
Sierra Leone,Grand Total,2017,g/cap/d,54.42
Sierra Leone,Animal Products,2017,g/cap/d,13.33
Sierra Leone,Poultry Meat,2017,g/cap/d,1.78
Slovakia,Grand Total,2017,g/cap/d,75.71
Slovakia,Animal Products,2017,g/cap/d,45.18
Slovakia,Poultry Meat,2017,g/cap/d,6.33
Slovenia,Grand Total,2017,g/cap/d,106.13
Slovenia,Animal Products,2017,g/cap/d,60.08
Slovenia,Poultry Meat,2017,g/cap/d,11.09
Solomon Islands,Grand Total,2017,g/cap/d,56.96
Solomon Islands,Animal Products,2017,g/cap/d,16.72
Solomon Islands,Poultry Meat,2017,g/cap/d,3.19
South Africa,Grand Total,2017,g/cap/d,79.5
South Africa,Animal Products,2017,g/cap/d,37.35
South Africa,Poultry Meat,2017,g/cap/d,16.59
Spain,Grand Total,2017,g/cap/d,110.2
Spain,Animal Products,2017,g/cap/d,71.33
Spain,Poultry Meat,2017,g/cap/d,13.84
Sri Lanka,Grand Total,2017,g/cap/d,71.82
Sri Lanka,Animal Products,2017,g/cap/d,20.29
Sri Lanka,Poultry Meat,2017,g/cap/d,4.07
Suriname,Grand Total,2017,g/cap/d,68.45
Suriname,Animal Products,2017,g/cap/d,30.57
Suriname,Poultry Meat,2017,g/cap/d,14.3
Sweden,Grand Total,2017,g/cap/d,109.91
Sweden,Animal Products,2017,g/cap/d,72.43
Sweden,Poultry Meat,2017,g/cap/d,7.61
Switzerland,Grand Total,2017,g/cap/d,99.64
Switzerland,Animal Products,2017,g/cap/d,65.05
Switzerland,Poultry Meat,2017,g/cap/d,7.22
Syrian Arab Republic,Grand Total,2017,g/cap/d,71
Syrian Arab Republic,Animal Products,2017,g/cap/d,20.86
Syrian Arab Republic,Poultry Meat,2017,g/cap/d,3.65
Tajikistan,Grand Total,2017,g/cap/d,76.54
Tajikistan,Animal Products,2017,g/cap/d,26.15
Tajikistan,Poultry Meat,2017,g/cap/d,1.85
Thailand,Grand Total,2017,g/cap/d,66.4
Thailand,Animal Products,2017,g/cap/d,27.81
Thailand,Poultry Meat,2017,g/cap/d,5.74
Timor-Leste,Grand Total,2017,g/cap/d,65.68
Timor-Leste,Animal Products,2017,g/cap/d,24.22
Timor-Leste,Poultry Meat,2017,g/cap/d,4.7
Trinidad and Tobago,Grand Total,2017,g/cap/d,94.34
Trinidad and Tobago,Animal Products,2017,g/cap/d,49
Trinidad and Tobago,Poultry Meat,2017,g/cap/d,26.34
Tunisia,Grand Total,2017,g/cap/d,101.26
Tunisia,Animal Products,2017,g/cap/d,31.45
Tunisia,Poultry Meat,2017,g/cap/d,7.82
Türkiye,Grand Total,2017,g/cap/d,107.29
Türkiye,Animal Products,2017,g/cap/d,39.49
Türkiye,Poultry Meat,2017,g/cap/d,9.54
Turkmenistan,Grand Total,2017,g/cap/d,104.26
Turkmenistan,Animal Products,2017,g/cap/d,52.84
Turkmenistan,Poultry Meat,2017,g/cap/d,1.98
Uganda,Grand Total,2017,g/cap/d,49.77
Uganda,Animal Products,2017,g/cap/d,12.23
Uganda,Poultry Meat,2017,g/cap/d,0.74
Ukraine,Grand Total,2017,g/cap/d,92.96
Ukraine,Animal Products,2017,g/cap/d,42.03
Ukraine,Poultry Meat,2017,g/cap/d,10.45
United Arab Emirates,Grand Total,2017,g/cap/d,89.8
United Arab Emirates,Animal Products,2017,g/cap/d,38.81
United Arab Emirates,Poultry Meat,2017,g/cap/d,12.1
United Kingdom of Great Britain and Northern Ireland,Grand Total,2017,g/cap/d,110.61
United Kingdom of Great Britain and Northern Ireland,Animal Products,2017,g/cap/d,64.85
United Kingdom of Great Britain and Northern Ireland,Poultry Meat,2017,g/cap/d,15.42
United Republic of Tanzania,Grand Total,2017,g/cap/d,58.74
United Republic of Tanzania,Animal Products,2017,g/cap/d,10.97
United Republic of Tanzania,Poultry Meat,2017,g/cap/d,0.55
United States of America,Grand Total,2017,g/cap/d,119.21
United States of America,Animal Products,2017,g/cap/d,81.19
United States of America,Poultry Meat,2017,g/cap/d,25.04
Uruguay,Grand Total,2017,g/cap/d,92.53
Uruguay,Animal Products,2017,g/cap/d,51.18
Uruguay,Poultry Meat,2017,g/cap/d,4.29
Uzbekistan,Grand Total,2017,g/cap/d,102.2
Uzbekistan,Animal Products,2017,g/cap/d,42.9
Uzbekistan,Poultry Meat,2017,g/cap/d,0.95
Vanuatu,Grand Total,2017,g/cap/d,80.84
Vanuatu,Animal Products,2017,g/cap/d,31.24
Vanuatu,Poultry Meat,2017,g/cap/d,7.57
Venezuela (Bolivarian Republic of),Grand Total,2017,g/cap/d,58.38
Venezuela (Bolivarian Republic of),Animal Products,2017,g/cap/d,26.59
Venezuela (Bolivarian Republic of),Poultry Meat,2017,g/cap/d,7.17
Viet Nam,Grand Total,2017,g/cap/d,88.83
Viet Nam,Animal Products,2017,g/cap/d,32.66
Viet Nam,Poultry Meat,2017,g/cap/d,4.36
Yemen,Grand Total,2017,g/cap/d,49.03
Yemen,Animal Products,2017,g/cap/d,9.88
Yemen,Poultry Meat,2017,g/cap/d,3.44
Zambia,Grand Total,2017,g/cap/d,52.2
Zambia,Animal Products,2017,g/cap/d,14.52
Zambia,Poultry Meat,2017,g/cap/d,1.56
Zimbabwe,Grand Total,2017,g/cap/d,57.78
Zimbabwe,Animal Products,2017,g/cap/d,26.52
